year,population,number_of_reps,state_Name
1990,1003464,2,Rhode Island
1980,947154,2,Rhode Island
1970,949723,2,Rhode Island
1960,859488,2,Rhode Island
1950,791896,2,Rhode Island
1940,713346,2,Rhode Island
1930,687497,2,Rhode Island
1920,604397,3,Rhode Island
1910,542610,3,Rhode Island
1900,428556,2,Rhode Island
1890,345506,2,Rhode Island
1880,276531,2,Rhode Island
1870,217353,2,Rhode Island
1860,174620,2,Rhode Island
1850,147545,2,Rhode Island
1840,108830,2,Rhode Island
1830,97199,2,Rhode Island
1820,83059,2,Rhode Island
1810,76931,2,Rhode Island
1800,69122,2,Rhode Island
1790,68825,2,Rhode Island
1789,,1,Rhode Island
,,,Rhode Island
