state_name,county_name,population,year
Minnesota,Minnesota,4919479,2000
Minnesota,Aitkin,15301,2000
Minnesota,Anoka,298084,2000
Minnesota,Becker,30000,2000
Minnesota,Beltrami,39650,2000
Minnesota,Benton,34226,2000
Minnesota,Big Stone,5820,2000
Minnesota,Blue Earth,55941,2000
Minnesota,Brown,26911,2000
Minnesota,Carlton,31671,2000
Minnesota,Carver,70205,2000
Minnesota,Cass,27150,2000
Minnesota,Chippewa,13088,2000
Minnesota,Chisago,41101,2000
Minnesota,Clay,51229,2000
Minnesota,Clearwater,8423,2000
Minnesota,Cook,5168,2000
Minnesota,Cottonwood,12167,2000
Minnesota,Crow Wing,55099,2000
Minnesota,Dakota,355904,2000
Minnesota,Dodge,17731,2000
Minnesota,Douglas,32821,2000
Minnesota,Faribault,16181,2000
Minnesota,Fillmore,21122,2000
Minnesota,Freeborn,32584,2000
Minnesota,Goodhue,44127,2000
Minnesota,Grant,6289,2000
Minnesota,Hennepin,1116200,2000
Minnesota,Houston,19718,2000
Minnesota,Hubbard,18376,2000
Minnesota,Isanti,31287,2000
Minnesota,Itasca,43992,2000
Minnesota,Jackson,11268,2000
Minnesota,Kanabec,14996,2000
Minnesota,Kandiyohi,41203,2000
Minnesota,Kittson,5285,2000
Minnesota,Koochiching,14355,2000
Minnesota,Lac qui Parle,8067,2000
Minnesota,Lake,11058,2000
Minnesota,Lake of the Woods,4522,2000
Minnesota,Le Sueur,25426,2000
Minnesota,Lincoln,6429,2000
Minnesota,Lyon,25425,2000
Minnesota,McLeod,34898,2000
Minnesota,Mahnomen,5190,2000
Minnesota,Marshall,10155,2000
Minnesota,Martin,21802,2000
Minnesota,Meeker,22644,2000
Minnesota,Mille Lacs,22330,2000
Minnesota,Morrison,31712,2000
Minnesota,Mower,38603,2000
Minnesota,Murray,9165,2000
Minnesota,Nicollet,29771,2000
Minnesota,Nobles,20832,2000
Minnesota,Norman,7442,2000
Minnesota,Olmsted,124277,2000
Minnesota,Otter Tail,57159,2000
Minnesota,Pennington,13584,2000
Minnesota,Pine,26530,2000
Minnesota,Pipestone,9895,2000
Minnesota,Polk,31369,2000
Minnesota,Pope,11236,2000
Minnesota,Ramsey,511035,2000
Minnesota,Red Lake,4299,2000
Minnesota,Redwood,16815,2000
Minnesota,Renville,17154,2000
Minnesota,Rice,56665,2000
Minnesota,Rock,9721,2000
Minnesota,Roseau,16338,2000
Minnesota,St. Louis,200528,2000
Minnesota,Scott,89498,2000
Minnesota,Sherburne,64417,2000
Minnesota,Sibley,15356,2000
Minnesota,Stearns,133166,2000
Minnesota,Steele,33680,2000
Minnesota,Stevens,10053,2000
Minnesota,Swift,11956,2000
Minnesota,Todd,24426,2000
Minnesota,Traverse,4134,2000
Minnesota,Wabasha,21610,2000
Minnesota,Wadena,13713,2000
Minnesota,Waseca,19526,2000
Minnesota,Washington,201130,2000
Minnesota,Watonwan,11876,2000
Minnesota,Wilkin,7138,2000
Minnesota,Winona,49985,2000
Minnesota,Wright,89986,2000
Minnesota,Yellow Medicine,11080,2000
